,ts_code,name
306,000818.SZ,航锦科技
307,000819.SZ,岳阳兴长
308,000820.SZ,神雾节能
309,000821.SZ,京山轻机
310,000822.SZ,山东海化
311,000823.SZ,超声电子
312,000825.SZ,太钢不锈
313,000826.SZ,启迪环境
314,000828.SZ,东莞控股
315,000829.SZ,天音控股
316,000830.SZ,鲁西化工
317,000831.SZ,中国稀土
318,000833.SZ,粤桂股份
319,000836.SZ,富通信息
320,000837.SZ,秦川机床
321,000838.SZ,财信发展
323,000848.SZ,承德露露
324,000850.SZ,华茂股份
325,000851.SZ,高鸿股份
326,000852.SZ,石化机械
327,000856.SZ,冀东装备
328,000858.SZ,五粮液
329,000859.SZ,国风新材
330,000860.SZ,顺鑫农业
331,000861.SZ,海印股份
332,000862.SZ,银星能源
333,000863.SZ,三湘印象
334,000868.SZ,安凯客车
335,000869.SZ,张裕A
336,000875.SZ,吉电股份
337,000876.SZ,新希望
338,000877.SZ,天山股份
339,000878.SZ,云南铜业
340,000880.SZ,潍柴重机
341,000881.SZ,中广核技
342,000882.SZ,华联股份
343,000883.SZ,湖北能源
344,000885.SZ,城发环境
345,000886.SZ,海南高速
346,000887.SZ,中鼎股份
347,000888.SZ,峨眉山A
349,000890.SZ,法尔胜
350,000892.SZ,欢瑞世纪
351,000893.SZ,亚钾国际
352,000895.SZ,双汇发展
353,000897.SZ,津滨发展
354,000898.SZ,鞍钢股份
355,000899.SZ,赣能股份
356,000900.SZ,现代投资
357,000901.SZ,航天科技
358,000902.SZ,新洋丰
359,000903.SZ,云内动力
360,000905.SZ,厦门港务
361,000906.SZ,浙商中拓
362,000908.SZ,景峰医药
364,000910.SZ,大亚圣象
365,000911.SZ,广农糖业
366,000912.SZ,泸天化
367,000913.SZ,钱江摩托
368,000915.SZ,华特达因
369,000917.SZ,电广传媒
370,000919.SZ,金陵药业
371,000920.SZ,沃顿科技
372,000921.SZ,海信家电
373,000922.SZ,佳电股份
374,000923.SZ,河钢资源
375,000925.SZ,众合科技
376,000926.SZ,福星股份
377,000927.SZ,中国铁物
378,000928.SZ,中钢国际
379,000929.SZ,兰州黄河
380,000930.SZ,中粮科技
381,000931.SZ,中关村
382,000932.SZ,华菱钢铁
383,000933.SZ,神火股份
384,000935.SZ,四川双马
385,000936.SZ,华西股份
386,000937.SZ,冀中能源
387,000938.SZ,紫光股份
388,000948.SZ,南天信息
389,000949.SZ,新乡化纤
390,000950.SZ,重药控股
391,000951.SZ,中国重汽
392,000952.SZ,广济药业
393,000953.SZ,河化股份
394,000955.SZ,欣龙控股
395,000957.SZ,中通客车
396,000958.SZ,电投产融
397,000959.SZ,首钢股份
398,000960.SZ,锡业股份
399,000961.SZ,中南建设
400,000962.SZ,东方钽业
401,000963.SZ,华东医药
402,000965.SZ,天保基建
403,000966.SZ,长源电力
404,000967.SZ,盈峰环境
405,000968.SZ,蓝焰控股
406,000969.SZ,安泰科技
407,000970.SZ,中科三环
409,000972.SZ,中基健康
410,000973.SZ,佛塑科技
411,000975.SZ,银泰黄金
413,000977.SZ,浪潮信息
414,000978.SZ,桂林旅游
415,000980.SZ,众泰汽车
416,000981.SZ,山子股份
417,000982.SZ,中银绒业
418,000983.SZ,山西焦煤
419,000985.SZ,大庆华科
420,000987.SZ,越秀资本
421,000988.SZ,华工科技
422,000989.SZ,九芝堂
423,000990.SZ,诚志股份
424,000993.SZ,闽东电力
425,000995.SZ,皇台酒业
427,000997.SZ,新大陆
428,000998.SZ,隆平高科
429,000999.SZ,华润三九
430,001201.SZ,东瑞股份
431,001202.SZ,炬申股份
432,001203.SZ,大中矿业
433,001205.SZ,盛航股份
434,001206.SZ,依依股份
435,001207.SZ,联科科技
436,001208.SZ,华菱线缆
437,001209.SZ,洪兴股份
438,001210.SZ,金房能源
439,001211.SZ,双枪科技
440,001212.SZ,中旗新材
441,001213.SZ,中铁特货
442,001215.SZ,千味央厨
443,001216.SZ,华瓷股份
444,001217.SZ,华尔泰
445,001218.SZ,丽臣实业
446,001219.SZ,青岛食品
447,001222.SZ,源飞宠物
448,001223.SZ,欧克科技
449,001225.SZ,和泰机电
450,001226.SZ,拓山重工
451,001227.SZ,兰州银行
452,001228.SZ,永泰运
453,001229.SZ,魅视科技
454,001230.SZ,劲旅环境
455,001231.SZ,农心科技
456,001234.SZ,泰慕士
457,001236.SZ,弘业期货
458,001238.SZ,浙江正特
459,001239.SZ,永达股份
460,001255.SZ,博菲电气
461,001256.SZ,炜冈科技
462,001258.SZ,立新能源
463,001259.SZ,利仁科技
464,001260.SZ,坤泰股份
465,001266.SZ,宏英智能
466,001267.SZ,汇绿生态
467,001268.SZ,联合精密
468,001269.SZ,欧晶科技
469,001270.SZ,铖昌科技
470,001278.SZ,一彬科技
471,001282.SZ,三联锻造
472,001283.SZ,豪鹏科技
473,001286.SZ,陕西能源
474,001287.SZ,中电港
475,001288.SZ,运机集团
476,001289.SZ,龙源电力
477,001296.SZ,长江材料
478,001298.SZ,好上好
479,001299.SZ,美能能源
480,001300.SZ,三柏硕
481,001301.SZ,尚太科技
482,001306.SZ,夏厦精密
483,001308.SZ,康冠科技
484,001309.SZ,德明利
485,001311.SZ,多利科技
486,001313.SZ,粤海饲料
487,001314.SZ,亿道信息
488,001316.SZ,润贝航科
